FactKey,DateKey,CompanyKey,AssetTurnoverRatio,OperatingRatio,CurrentRatio,QuickRatio,CashRatio,WorkingCapital,OperatingCashFlowRatio,GrossMargin,OperatingMargin,NetProfitMargin,InterestCoverageRatio
1,20230331,1,0.2794,0.7014,0.9404,0.7643,0.4653,-7162000000,0.2379,0.4426,0.2986,0.2548,33.5656
2,20230630,1,0.2452,0.7188,0.9816,0.8136,0.5,-2304000000,0.2111,0.4452,0.2812,0.2431,26.1022
3,20230930,1,0.2603,0.6987,0.988,0.8433,0.4236,-1742000000,0.1486,0.4517,0.3013,0.2565,29.5629
4,20230331,2,0.0894,0.7613,0.9601,0.6595,0.2436,-1102000000,0.152,0.6739,0.2264,0.0196,8.8517
5,20230630,2,0.1027,0.6543,0.8949,0.6283,0.2719,-3387000000,0.196,0.6942,0.3255,0.146,12.2699
6,20230930,2,0.1026,0.8315,0.9555,0.7104,0.3822,-1549000000,0.0512,0.5344,0.1638,0.1277,6.1357
7,20230331,3,0.1309,0.8452,1.6285,1.1842,0.6566,9735000000,0.0738,0.5557,0.1548,0.1352,40.5962
8,20230630,3,0.135,0.8455,1.638,1.1592,0.5683,9155000000,0.0838,0.5507,0.1545,0.1378,36.3279
9,20230930,3,0.1395,0.8376,1.7378,0.5403,0.5403,9622000000,0.0,0.546,0.1624,0.1416,31.058
10,20230331,4,0.3335,0.877,1.2882,1.1463,0.3818,4711436000,0.1425,0.3057,0.123,0.0963,214.1152
11,20230630,4,0.3386,0.8576,1.3679,1.2358,0.4996,6287545000,0.1924,0.3338,0.1424,0.1213,289.435
12,20230930,4,0.3154,0.8803,1.2983,1.1815,0.5025,5372893000,0.1893,0.3242,0.1197,0.0859,146.7679
13,20230331,5,0.1729,0.6593,1.1217,1.0023,0.7601,905000000,0.2276,0.878,0.3407,0.2679,57.5312
14,20230630,5,0.1767,0.6628,1.1565,1.0333,0.8232,1255000000,0.2667,0.8812,0.3372,0.2689,72.7308
15,20230930,5,0.1718,0.653,1.2491,1.124,0.9018,2076000000,0.2247,0.8814,0.347,0.2869,70.9259
16,20230331,6,0.0208,1.0022,2.9867,11.769,11.0667,43906000000,0.0225,0.8208,-0.1152,-0.0079,-0.2834
17,20230630,6,0.0246,0.8721,3.0369,11.624,11.042,43491000000,0.0288,0.8284,0.1279,0.113,9.9964
18,20230930,6,0.0241,0.785,3.0914,11.3117,10.778,44626000000,0.1645,0.8343,0.215,0.215,13.2786
19,20230331,7,0.0792,1.0271,2.3807,1.5176,0.903,9081000000,0.0739,0.4407,-0.0191,-0.026,16.64
20,20230630,7,0.079,1.0037,2.1797,1.3998,0.83,8933000000,0.0501,0.4559,-0.0037,0.005,30.4643
21,20230930,7,0.0856,0.9614,2.188,1.4213,0.7585,9061000000,0.0552,0.4736,0.0386,0.0516,41.2308
22,20230331,8,0.0794,0.6853,3.1448,2.6238,2.2203,30488000000,0.0749,0.7183,0.5053,0.4654,7.3389
23,20230630,8,0.0781,0.6158,2.7712,2.3442,2.0032,30283000000,0.2403,0.7405,0.3842,0.1974,3.1463
24,20230930,8,0.0764,0.7072,2.8593,2.4116,2.0491,31523000000,0.1628,0.7384,0.2928,0.2506,3.5652
25,20230331,9,0.0413,0.7197,0.4581,0.333,0.2394,-4082000000,0.1421,0.7087,0.2803,0.1214,4.4171
26,20230630,9,0.0415,0.6848,0.5316,0.3898,0.291,-3244300000,0.1746,0.7015,0.3152,0.1716,4.7064
27,20230930,9,0.0425,0.6521,0.5605,0.4028,0.3085,-3018800000,0.1894,0.7106,0.2337,0.2082,3.9577
28,20230331,10,0.2748,0.966,0.9231,0.6915,0.4364,-11349000000,0.0324,0.4677,0.0389,0.0249,19.5346
